cnpj;razao_social;nome_fantasia;end_logradouro;end_numero;end_complemento;end_bairro;mun_descricao;end_uf;end_cep;telefone1;telefone2;telefone3;qtde_func;faixa_faturamento;cnae;cnae_denominacao;pri_produto;e-mail;site;principal_executivo;cargo;cadastro;atualizacao;Endereço;geolocalizacao;latitude;longitude
15.147.507/0001-40;Favab S/A;Favab;Via Periferica I;3431;;CIA;Simoes Filho;BA;43700000;(71) 3211-8000 ;(71) 3211-8030;(71) 3211-8008;26;50.000.001,00 a 100.000.000,00;C1921700;Fabricação de produtos do refino de petróleo;Oleo mineral, Vaselina;sac@favab.com.br;;Eduardo Cintra Santos;Diretor;2000-08-11 00:00:00;2023-07-13 00:00:00;Via Periferica I, 3431, CIA, Simoes Filho, BA;Via Periferica I, 3431 - A Definir, Simões Filho - BA, 43700-000, Brazil;-12.821291;-38.426498
13.455.068/0001-07;Durit Brasil Ltda;Durit Brasil;Via de Penetracao III;519;;CIA;Simoes Filho;BA;43700000;(71) 2106-9500;(71) 2106-9530;;160;12.000.001,00 a 25.000.000,00;C2599399;Fabricação de outros produtos de metal não especificados anteriormente;Estampagem e deformacao a frio e prensagem de pos: puncao/matriz, Pastilha, Botao, Rolo, Fieira, roldana, guia, Componentes anti desgaste: anel, embolo, sede, selo, obturador. Mandris e fieiras para producao de tubos e barras em ligas ferrosas e nao ferro;rh@durit.com.br;www.durit.com.br;Joao Aderito da Silva Belo Valente;Diretor Geral;2000-08-14 00:00:00;2022-08-19 00:00:00;Via de Penetracao III, 519, CIA, Simoes Filho, BA;Via de Penetração III, 519 - Centro Industrial de Aratu, Simões Filho - BA, 43700-000, Brazil;-12.826384;-38.4111967
62.143.847/0002-63;Dacarto Industria e Comercio de Plasticos Ltda;;Via Centro;3244;;CIA;Simoes Filho;BA;43700000;(71) 3594-8522;(71) 3594-9664;;57;50.000.001,00 a 100.000.000,00;C2229302;Fabricação de artefatos de material plástico para usos industriais;PVC Composto nao plastificado, PVC Composto plastificado;fiscal.filial@dacarto.com.br;www.dacarto.com.br;Altamir Antao Fernandes;Diretor Administrativo Financeiro;2000-08-29 00:00:00;2024-01-02 00:00:00;Via Centro, 3244, CIA, Simoes Filho, BA;Via Centro, 3244, Simões Filho - BA, 43700-000, Brazil;-12.8196215;-38.4158574
15.102.262/0001-34;Postes Nordeste S/A;Postes Nordeste;Via Centro;3600;;CIA;Simoes Filho;BA;43700000;(71) 3413-8422;;;64;25.000.001,00 a 50.000.000,00;C2330301;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;Poste, Cruzeta, Anel, Viga, Coluna, Suporte Jabaquara, Placa de Estai;adm@postesnordeste.com.br;www.postesnordeste.com.br;Monica Mendes de Carvalho Gantois;Socia Diretora;2000-08-30 00:00:00;2023-07-13 00:00:00;Via Centro, 3600, CIA, Simoes Filho, BA;Via Centro, 3600, Simões Filho - BA, 43700-000, Brazil;-12.8196215;-38.4158574
00.726.741/0001-54;Sol Nordeste Ltda;Sol Nordeste;Dica Quadra 09 Lote 02 Zona C;S/N;;CIA;Simoes Filho;BA;43700000;(71) 3415-1019;;;41;6.000.001,00 a 12.000.000,00;C2222600;Fabricação de embalagens de material plástico;Bobina picotada para horti-fruti e outros fins, Bobina picotada, Composto de resina plastica, Saco, Sacola, Bobina plastica;solnordeste@solnordeste.com.br;;Jose Roberto Amaral Salles;Socio Gerente;2000-08-31 00:00:00;2022-08-08 00:00:00;Dica Quadra 09 Lote 02 Zona C, S/N, CIA, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
15.187.776/0001-30;Petrol Industrial S/A;Petrol;Via Periferica I;5071;;CIA;Simoes Filho;BA;43700000;(71) 3594-8166;;;12;6.000.001,00 a 12.000.000,00;C2851800;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;Equipamentos e acessorios para instalacoes e pocos de petroleo;petrol@terra.com.br;www.petrolindustrial.com.br;Celio Jose de Souza;Presidente;2000-08-31 00:00:00;2022-10-11 00:00:00;Via Periferica I, 5071, CIA, Simoes Filho, BA;Via Periferica I, 5071 - A Definir, Simões Filho - BA, 43700-000, Brazil;-12.8249249;-38.4140745
01.029.001/0001-21;Poly FFS Plasticos Ltda;Poly;Via das Torres;S/N;Lote 2-A;CIA;Simoes Filho;BA;43700000;(71) 3594-9542;(71) 3377-9037;;4;0,00 a 120.000,00;C2229302;Fabricação de artefatos de material plástico para usos industriais;Filme FFS;gerencia@polyffs.com.br;www.polyffs.com.br;Teng Li Cheung;Gerente Geral;2000-09-04 00:00:00;2023-09-21 00:00:00;Via das Torres, S/N, Lote 2-A, CIA, Simoes Filho, BA;Via das Torres, Simões Filho - BA, 43700-000, Brazil;-12.8306796;-38.4241588
00.106.941/0001-04;Gel Divisao Eletrica Eireli;Gel Eletrica;Rod BR-324 Km 18, Via de Penetracao 3;S/N;Lts 809/810;CIA;Simoes Filho;BA;43700000;(71) 3594-3900;;;9;720.001,00 a 1.500.000,00;C2732500;Fabricação de material elétrico para instalações em circuito de consumo;Artigo regional em metal, Penca de prata, Berimbau, Trofeu, Pecas para equipamentos eletricos;diretoria@geleletrica.com.br;www.geleletrica.com.br;Joao Massa Viana;Socio Gerente;2000-09-06 00:00:00;2022-08-10 00:00:00;Rod BR-324 Km 18, Via de Penetracao 3, S/N, Lts 809/810, CIA, Simoes Filho, BA;Via de Penetração III, Simões Filho - BA, 43700-000, Brazil;-12.8262772;-38.4106345
15.102.924/0001-76;Organizacao Leao do Norte Ltda;Leao do Norte;Rod BR-324 Km 16;S/N;Fabrica;CIA;Simoes Filho;BA;43700000;(71) 3503-8666;;;45;25.000.001,00 a 50.000.000,00;C1112700;Fabricação de vinho;Vinho tinto composto com jurubeba;leaodonorte@leaodonorte.com.br;www.leaodonorte.com.br;Eduardo Queiroz da Costa Lima;Socio Administrador;2000-09-06 00:00:00;2023-11-21 00:00:00;Rod BR-324 Km 16, S/N, Fabrica, CIA, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
03.255.228/0001-10;Cascadura Industrial Bahia Ltda;Cascadura;Via de Penetracao B Lote 6/14;S/N;Dist 2,4,10 Cx Postal 3013;CIA;Simoes Filho;BA;43700000;(71) 3594-7155;(71) 3594-9484;;8;120.001,00 a 720.000,00;C2539001;Serviços de usinagem, tornearia e solda;Usinagem, Servico industrial de cromagem, aspersao termica e solda;ssa@cascadura.com.br;www.cascadura.com.br;Isaac Possato;Diretor;2000-10-17 00:00:00;2023-06-14 00:00:00;Via de Penetracao B Lote 6/14, S/N, Dist 2,4,10 Cx Postal 3013, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
43.461.789/0004-33;Quimica Amparo Ltda;Ype;Via Periferica Waldir Beira;S/N;;CIA;Simoes Filho;BA;43700000;(71) 2102-7000;;;1051;25.000.001,00 a 50.000.000,00;C2061400;Fabricação de sabões e detergentes sintéticos;Sabao em pasta, Detergente, Amaciante, Desinfetante, Sabonete, Agua sanitaria, Sabao em barra, Esponja de aco multiuso;elton.santos@ype.ind.br;www.ype.ind.br;Waldir Beira Junior;Diretor Adjunto;2003-05-06 00:00:00;2023-04-10 00:00:00;Via Periferica Waldir Beira, S/N, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
05.124.161/0001-00;Web Nordeste Ltda;Web Nordeste;Via Centro Sul;903;;CIA;Simoes Filho;BA;43700000;(71) 3311-4455;(71) 3311-4470;;146;25.000.001,00 a 50.000.000,00;C2813500;Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;Valvula esfera, Valvula gaveta, Partes de valvulas, Valvula redutora de pressao, Cabeca de poco;webnordeste@webnordeste.com.br;www.webnordeste.com.br;Jorge Henrique Geringer;Socio Diretor;2003-07-01 00:00:00;2023-03-23 00:00:00;Via Centro Sul, 903, CIA, Simoes Filho, BA;Via Centro, Simões Filho - BA, 43700-000, Brazil;-12.8199377;-38.4146153
04.383.583/0001-38;Forja Bahia Ltda;Forja Bahia;Via Ipitanga;329;;CIA;Simoes Filho;BA;43700000;(71) 3082-9559;(71) 3082-9504;(71) 3082-9508;70;25.000.001,00 a 50.000.000,00;C2531401;Produção de forjados de aço;Pecas de aco forjado;fb@forjabahia.com.br;www.forjabahia.com.br;Wagner Rogerio Marques da Silva;Proprietario;2004-07-08 00:00:00;2023-08-21 00:00:00;Via Ipitanga, 329, CIA, Simoes Filho, BA;Via Ipitanga, 329 - CIA, Simões Filho - BA, 43700-000, Brazil;-12.8383927;-38.43670160000001
05.051.144/0001-90;Pre-Moldados Industriais de Concreto Ltda;Pre-Moldados Industriais de Concreto Ltda;Rua das Flores;S/N;;CIA;Simoes Filho;BA;43700000;(71) 3413-8422;(71) 3413-8403;;65;120.001,00 a 720.000,00;C2330399;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;Poste para distribuicao, Cruzeta, Poste circular, Galpao, Estaca;controle@postesnordeste.com.br;;Mariela Mendes de Carvalho Franco;Socia Administradora;2005-02-14 00:00:00;2022-11-18 00:00:00;Rua das Flores, S/N, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
37.655.461/0003-74;Delta Tintas Ltda;Delta Tintas;Av Anel 03 Quadra 06 Lote 03 Dica;S/N;;CIA;Simoes Filho;BA;43700000;(71) 3394-1313;(71) 3394-1715;;22;1.500.001,00 a 3.000.000,00;C2071100;Fabricação de tintas, vernizes, esmaltes e lacas;Tinta latex;deltatintas@tintasdelta.com.br;;Marcilio Trigo;Proprietario;2007-05-15 00:00:00;2023-09-28 00:00:00;Av Anel 03 Quadra 06 Lote 03 Dica, S/N, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
08.377.625/0001-89;KYC Processadora de Carnes Ltda;KYC Carnes;Rod BR-324 Km 15,5;S/N;;CIA;Simoes Filho;BA;43700000;(71) 3301-0707;;;42;0,00 a 120.000,00;C1011201;Frigorífico - abate de bovinos;Processamento de carne resfriada;kyc.meat@hotmail.com;;Evaldo Gomes Martins;Socio Proprietario;2007-08-13 00:00:00;2019-05-31 00:00:00;Rod BR-324 Km 15,5, S/N, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, Simões Filho - BA, Brazil;-12.7833653;-38.4133446
07.292.680/0001-03;Inoquimica Industria e Comercio Ltda;Poliaminas;Via de Penetracao IV;447;Antigo 329, Zona de Ind Leves e Medias;CIA;Simoes Filho;BA;43700000;(71) 3173-8000;(71) 3173-8016;(71) 98162-6817;45;50.000.001,00 a 100.000.000,00;C2029100;Fabricação de produtos químicos orgânicos não especificados anteriormente;Oleo Petroquil (oleo plastificante), Oleo de soja epoxidado (plastificante), Protack RA C70 (resina poliester-glicol), Aditivo para borrachas e plasticos, Resinas de poliester;qualidade@inoquimica.com.br;www.inoquimica.com.br;Thiago Barbosa Lima;Socio Administrador;2007-08-17 00:00:00;2022-10-07 00:00:00;Via de Penetracao IV, 447, Antigo 329, Zona de Ind Leves e Medias, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
04.692.961/0001-65;Epebras Fabricacao de Maquinas e Equipamentos Petroliferos Ltda;Epebras;Via Periferica II;2185;Galpao II;CIA;Simoes Filho;BA;43700000;(71) 3594-5721;(71) 3594-5738;(71) 3321-1518;17;1.500.001,00 a 3.000.000,00;C2851800;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;Sonda de petroleo;adm@epebras.com;www.epebras.com;Carlos Romeu Silva Filho;Superintendente;2008-03-04 00:00:00;2023-07-18 00:00:00;Via Periferica II, 2185, Galpao II, CIA, Simoes Filho, BA;Via Periférica 2, 2185, Simões Filho - BA, 43700-000, Brazil;-12.8104566;-38.44464809999999
08.803.423/0001-51;Kop do Brasil Industrias Farmaceuticas Ltda;;Via de Penetracao II;359;;CIA;Simoes Filho;BA;43700000;(71) 3301-8850 ;(71) 2626-8850;(71) 99982-7608;12;720.001,00 a 1.500.000,00;C2123800;Fabricação de preparações farmacêuticas;Agua oxigenada 10v, Alcool iodado, Agua destilada, Alcool 70%;diretoria@kopdobrasil.com.br;www.kopdobrasil.com.br;Jose Helio Sanches;Socio;2008-06-16 00:00:00;2022-12-06 00:00:00;Via de Penetracao II, 359, CIA, Simoes Filho, BA;Via de Penetração - Polo Hab. Litoral Norte, Lauro de Freitas - BA, 42700-000, Brazil;-12.8796444;-38.3351696
63.278.311/0001-37;Concretiza Fabricacao de Artefatos de Cimento Ltda;Concretiza;Via Urbana;1560;;CIA;Simoes Filho;BA;43700000;(71) 3378-9900;(71) 3594-8788;;28;1.500.001,00 a 3.000.000,00;C2330302;Fabricação de artefatos de cimento para uso na construção;Piso intertravado;concretiza@concretiza.com.br;www.concretiza.com.br;Jose Carlos Telles Soares;Diretor;2009-04-01 00:00:00;2023-08-07 00:00:00;Via Urbana, 1560, CIA, Simoes Filho, BA;Vila CIA Sul, 1560, Simões Filho - BA, 43700-000, Brazil;-12.8254995;-38.4053175
08.704.551/0001-48;Sulamericana Quimica Ltda;Sulamericana Quimica;Via de Penetracao II;S/N;Lote 5;CIA;Simoes Filho;BA;43700000;(71) 3594-5540;(71) 3594-7153;;16;12.000.001,00 a 25.000.000,00;C2019399;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;Cloreto ferrico, Cloreto de magnesio, Sulfato de ferro;adm@sulamericanaquimica.com.br;;Jose Helio Sanches;Diretor Presidente;2009-04-03 00:00:00;2022-11-11 00:00:00;Via de Penetracao II, S/N, Lote 5, CIA, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
05.783.974/0001-02;Flamagel Industria e Comercio Ltda;Flamagel;Via de Penetracao III;S/N;Qd 1 Lt 3-A, Galpao I;CIA Dica;Simoes Filho;BA;43700000;(71) 3503-1616;(71) 3503-1604;;9;6.000.001,00 a 12.000.000,00;C1931400;Fabricação de álcool;Alcool etilico, Alcool liquido 46º, Alcool absoluto 99,5º, Alcool gel, Acendedor de lamparina-Luminol, Gel acendedor de churrasqueira-Firestart;adm@flamagel.com.br;www.flamagel.com.br;Fernando Ney Lima Biron;Socio Proprietario;2007-04-11 00:00:00;2023-06-20 00:00:00;Via de Penetracao III, S/N, Qd 1 Lt 3-A, Galpao I, CIA Dica, Simoes Filho, BA;Via de Penetração III, Simões Filho - BA, 43700-000, Brazil;-12.8262772;-38.4106345
05.244.627/0001-01;Usiveda Comercio e Servicos de Motores Eletricos Eireli;Usiveda;Av Universitaria;842;;CIA I;Simoes Filho;BA;43700000;(71) 3296-4802;;;8;120.001,00 a 720.000,00;C3311200;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;Caldeiraria, Usinagem, Soldagem, Reparacao de tanques e reservatorios;usiveda@gmail.com;www.usiveda.com.br;Jailton Luiz Alves Dias;Diretor;2003-01-14 00:00:00;2022-10-27 00:00:00;Av Universitaria, 842, CIA I, Simoes Filho, BA;Via Universitária, 842 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8030762;-38.3870225
05.116.907/0001-34;Itazul Industria e Comercio de Produtos de Limpeza Eireli;Ita-Azul;Lot Distrito de Calcados-DICA Qd 11 Lt 04;113;;CIA I;Simoes Filho;BA;43700000;(71) 3233-9101;(71) 3244-7677;(71) 99609-4228;100;12.000.001,00 a 25.000.000,00;C2062200;Fabricação de produtos de limpeza e polimento;Detergente, Agua sanitaria, Alvejante, Desinfetante;financeiro@itazul.com.br;www.itazul.com.br;Pedro Gordilho Damaso;Titular;2008-03-07 00:00:00;2023-01-31 00:00:00;Lot Distrito de Calcados-DICA Qd 11 Lt 04, 113, CIA I, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
03.879.023/0002-97;Reciclal Industria e Comercio Ltda;Reciclal;Av Sest/Senat;1180;;CIA I;Simoes Filho;BA;43700000;(71) 3381-7898;(71) 3382-7150;(71) 3244-2269;12;0,00 a 120.000,00;E3839499;Recuperação de materiais não especificados anteriormente;Saco para lixo (reciclado), Papel separado do lixo;;www.reciclalsa.com.br;Alfredo Macedo Mangueira;Diretor Presidente;2009-11-03 00:00:00;2018-11-29 00:00:00;Av Sest/Senat, 1180, CIA I, Simoes Filho, BA;Rodovia BR 324, Km 606, Via Adutora II - Centro Industrial de Aratu - Cia Sul 1 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8136339;-38.4034461
20.784.486/0001-03;Logica Comercio e Servicos Ltda;Logica Comercio e Servicos Ltda;Travessa Monteiro Lobato;66;;CIA I;Simoes Filho;BA;43700000;(71) 3045-1529;;;5;120.001,00 a 720.000,00;C3314702;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;Manutencao e reparacao de equipamentos hidraulicos e pneumaticos;logica@logicaautomacao.com;;Sergio Roberto Vivas Fontoura;Socio;2017-11-01 00:00:00;2019-09-12 00:00:00;Travessa Monteiro Lobato, 66, CIA I, Simoes Filho, BA;Tv. Monteiro Lobato, 66 - Vila Rui Barbosa, Salvador - BA, 40430-155, Brazil;-12.9311275;-38.5006174
21.845.503/0001-38;Cal Service Manutencao e Calibracao Industrial Ltda;CAL Service;Av Rivaldo Gomes Guimaraes;358;Quadra 3;CIA I;Simoes Filho;BA;43700000;(71) 3165-5926;(71) 99647-4147;(71) 98852-5926;6;120.001,00 a 720.000,00;C3314710;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;Manutencao em balancas, Calibracao de instrumentos , Manutencao preventiva e corretiva;contato@calservice.ind.br;www.calservice.ind.br;Sueudo de Lima Souza;Socio;2018-07-11 00:00:00;2023-12-13 00:00:00;Av Rivaldo Gomes Guimaraes, 358, Quadra 3, CIA I, Simoes Filho, BA;Av. Rivaldo Gomes Guimarães, 358 - Quadra 3 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8105506;-38.3953874
28.516.267/0001-55;Industria de Reciclagem Plastica da Bahia Ltda;Industria de Reciclagem Plastica da Bahia;Via Universitaria;842;;CIA I;Simoes Filho;BA;43700000;(71) 99614-5288;(71) 3396-1215;;0;720.001,00 a 1.500.000,00;E3832700;Recuperação de materiais plásticos;Reciclagem de plastico (PE, PP);reciclagemba@gmail.com;;Jurandir Bastos Cardoso;Diretor;2021-05-19 00:00:00;2023-02-23 00:00:00;Via Universitaria, 842, CIA I, Simoes Filho, BA;Via Universitária, 842 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8030762;-38.3870225
22.652.623/0001-81;W Service Comercio, Locacao e Manut em Equips Hospitalares Eireli;W Service Hospitalar;Av Eng Elmo Serejo de Farias;2449;Sl 102;CIA I;Simoes Filho;BA;43700000;(71) 3396-0035;(71) 99717-1210;;8;720.001,00 a 1.500.000,00;C3312103;Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;Manutencao e reparacao de aparelhos hospitalares, Manutencao de redes (gas oxigenio, ar condicionado central, ar comprimido, vacuo), Manutencao de autoclaves e de lavanderia industrial;comercial@wservicehospitalar.com.br;www.wservicehospitalar.com.br;David Marinho da Silva;Socio;2018-09-10 00:00:00;2023-10-17 00:00:00;Av Eng Elmo Serejo de Farias, 2449, Sl 102, CIA I, Simoes Filho, BA;Av. Elmo Serejo de Farias, 2449 - 102 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8103858;-38.3920153
32.677.536/0001-32;Clonor Industria Quimica Ltda;Clonor;Rua Ouro Negro;31;Qd 01 Andar 1;CIA I;Simoes Filho;BA;43700000;(71) 98668-0705;;;5;1.500.001,00 a 3.000.000,00;C2099199;Fabricação de outros produtos químicos não especificados anteriormente;Policloreto de aluminio;clonor@clonor.com.br;;Joao Augusto Tararan;Socio Administrador;2007-03-28 00:00:00;2023-03-21 00:00:00;Rua Ouro Negro, 31, Qd 01 Andar 1, CIA I, Simoes Filho, BA;R. Ouro Negro, 31 - Qd 01 Andar 1, Simões Filho - BA, 43700-000, Brazil;-12.8166382;-38.3916462
42.860.340/0001-32;Mao Tecnica Servico de Manutencao Industrial Eireli;Mao Tecnica;Av Paranagua;159;;CIA I;Simoes Filho;BA;43700000;(71) 3599-7184;(71) 99138-9297;;2;0,00 a 120.000,00;C3314716;Manutenção e reparação de tratores, exceto agrícolas;Manutencao e reparacao de empilhadeira;maotecnica01@gmail.com;;Keyle Aparecida Boaventura Gomes;Proprietaria;2022-07-12 00:00:00;2023-12-22 00:00:00;Av Paranagua, 159, CIA I, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
19.941.062/0001-26;Bahmec Manutencao Industrial Ltda;Bahmec Manutencao Industrial;Rua da Independencia;263;Quadra 02;CIA I;Simoes Filho;BA;43700000;(71) 3396-2988;(71) 3303-9998;;5;120.001,00 a 720.000,00;C3311200;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;Manutencao de tanques, reservatorios metalicos e caldeiras, Manutencao e reparacao de maquina industrial;jnevesmanutencao@hotmail.com;;Joao Neves dos Santos;Socio Administrador;2023-03-20 00:00:00;;Rua da Independencia, 263, Quadra 02, CIA I, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
45.510.812/0001-15;Ideal Tech Metalurgica Ltda;Ideal Tech;Av Rivaldo Gomes Guimaraes;375;Qd 4;CIA I;Simoes Filho;BA;43700000;(71) 98505-2024;(71) 3014-8600;;2;0,00 a 120.000,00;C2539001;Serviços de usinagem, tornearia e solda;Servico de solda, Tornearia, Usinagem;;;Jose Lima de Almeida Neto;Socio Administrador;2022-09-29 00:00:00;;Av Rivaldo Gomes Guimaraes, 375, Qd 4, CIA I, Simoes Filho, BA;Av. Rivaldo Gomes Guimarães, 375 - Qd 4 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8109973;-38.3953734
41.162.589/0001-01;Mundial Color Perfis em Aluminio Ltda;Mundial Color Perfis;Rua da Linha de Transmissao;954;;CIA I;Simoes Filho;BA;43700000;(71) 3599-5023;(71) 99227-8238;;40;12.000.001,00 a 25.000.000,00;C2512800;Fabricação de esquadrias de metal;Perfil de aluminio (diversos tipos e formatos);fiscal@grupomundialaluminio.com.br;;Rejane de Oliveira Souza;Socia Administrativa;2023-09-27 00:00:00;;Rua da Linha de Transmissao, 954, CIA I, Simoes Filho, BA;MUNDIAL COLOR PERFIS EM ALUMINIO - R. da Linha de Transmissão, 954 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8130228;-38.3972728
41.624.229/0001-84;Alex Fernandes da Silva - MEI;Astral Crachas;Av Elmo Serejo Farias;1525;1 Andar;CIA II;Simoes Filho;BA;43700000;(71) 3298-0829;(71) 98887-8079;;2;0,00 a 120.000,00;C1813001;Impressão de material para uso publicitário;Cracha, Protetor de cracha, Cordao personalizado para cracha, Cartao, Carteira;astralcrachas@gmail.com;www.astralcrachas.com.br;Alex Fernandes da Silva;Proprietario;2021-10-21 00:00:00;2023-07-05 00:00:00;Av Elmo Serejo Farias, 1525, 1 Andar, CIA II, Simoes Filho, BA;Av. Elmo Serejo de Farias, 1525 - 1 Andar - Conj. Hab. Cia II, Simões Filho - BA, 43700-000, Brazil;-12.8017547;-38.3964565
05.746.147/0001-49;Sousa e Reale Ltda;Marmoraria Brasil;Av Eng Elmo Serejo de Farias;1357;Terreo;CIA II;Simoes Filho;BA;43700000;(71) 3396-2442;;;15;120.001,00 a 720.000,00;C2391503;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;Peitoril, Pia, Bancada, Soleira, Mausoleu, Mesa, Escada, Balcao;marmoraria_brasil@hotmail.com;;Adneia Reale dos Santos;Socio Administrador;2008-05-12 00:00:00;2022-08-16 00:00:00;Av Eng Elmo Serejo de Farias, 1357, Terreo, CIA II, Simoes Filho, BA;Av. Elmo Serejo de Farias, 1357 - Conj. Hab. Cia II, Simões Filho - BA, 43700-000, Brazil;-12.8004275;-38.3960426
05.991.147/0001-04;Maria da Pena Conceicao da Mota Ltda;Usinart Metalurgica Ltda;Rod Universitaria;S/N;Galpao;CIA II;Simoes Filho;BA;43700000;(71) 99991-2559;(71) 99399-9851;(71) 99167-2553;12;1.500.001,00 a 3.000.000,00;C2539001;Serviços de usinagem, tornearia e solda;Usinagem, Eixo flutuante, Anel, Espatula de aco carbono, Arruela, Acoplamento para redutor, Tubo guia, Prato em bronze, Polia;usinart@usinartmetalurgica.com.br;;Maria da Pena Conceicao da Mota;Proprietaria;2007-05-23 00:00:00;2023-08-23 00:00:00;Rod Universitaria, S/N, Galpao, CIA II, Simoes Filho, BA;Via Universitária - Pitanguinha, Simões Filho - BA, 43700-000, Brazil;-12.8028491;-38.3867001
01.397.753/0001-45;Paviservice Servicos de Pavimentacao Ltda;Paviservice;Via Universitaria;1200;;CIA II;Simoes Filho;BA;43700000;(71) 3295-5500;(71) 98148-9007;;690;50.000.001,00 a 100.000.000,00;F4211101;Construção de rodovias e ferrovias;Construcao de estrada, Pavimentacao;paviservice@paviservice.com.br;www.paviservice.com.br;Ronald Velame de Azevedo;Diretor Superintendente;2000-07-19 00:00:00;2023-08-09 00:00:00;Via Universitaria, 1200, CIA II, Simoes Filho, BA;Via Universitária, 1200 - Nucleo Hab. Rubens Costa Cia I, Simões Filho - BA, 43700-000, Brazil;-12.8037723;-38.3845421
15.435.607/0001-71;Pedro Ribeiro Neto;Acai Baiano;Rod BA-528, Conj Ilha de Sao Joao;S/N;;CIA Industrial;Simoes Filho;BA;43000000;(71) 99942-4979;;;1;120.001,00 a 720.000,00;C1033302;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;Polpa de acai, Polpa de fruta;explosaodaamazonia09@yahoo.com.br;;Pedro Ribeiro Neto;Diretor;2012-10-01 00:00:00;2022-08-09 00:00:00;Rod BA-528, Conj Ilha de Sao Joao, S/N, CIA Industrial, Simoes Filho, BA;Conjunto habitacional Ilha de São João, Simões Filho - BA, 43700-000, Brazil;-12.8169113;-38.4608386
02.370.080/0001-00;Staummaq Servicos Tecnicos Automacao Motores e Maquinas Ltda;Staummaq;Via Urbana;01;;CIA Sul;Simoes Filho;BA;43700000;(71) 2203-6300 ;(71) 2203-6301;(71) 2203-6305;11;6.000.001,00 a 12.000.000,00;C3313901;Manutenção e reparação de geradores, transformadores e motores elétricos;Manutencao e reparacao em motores e maquinas industriais;staummaq@staummaq.com.br;www.staummaq.com;Eliel Fernandes Pereira;Socio;2012-10-05 00:00:00;2022-08-12 00:00:00;Via Urbana, 01, CIA Sul, Simoes Filho, BA;Vila CIA Sul, Simões Filho - BA, 43700-000, Brazil;-12.82923;-38.4081945
